Статья,Ссылка,Доступ,Авторы
"АКАДЕМИК А. А. ШАХМАТОВ: ЖИЗНЬ, ТВОРЧЕСТВО, НАУЧНОЕ НАСЛЕДИЕ",https://www.elibrary.ru/item.asp?id=25901490,Free,
"СПИСОК РАБОЧИХ ВОТКИНСКОГО ЗАВОДА, ВЫБЫВШИХ ПОСЛЕ ВОССТАНИЯ (3165 ЧЕЛ.)",https://www.elibrary.ru/item.asp?id=42606646,Free,Коробейников А.В.
АДВОКАТУРА В ГОДЫ ВЕЛИКОЙ ОТЕЧЕСТВЕННОЙ ВОЙНЫ (ПРОДОЛЖЕНИЕ),https://www.elibrary.ru/item.asp?id=24119355,Free,Смирнов В.Н.
ТЫСЯЧА И ОДИН САМЫЙ КАССОВЫЙ СОВЕТСКИЙ ФИЛЬМ: МНЕНИЯ КИНОКРИТИКОВ И ЗРИТЕЛЕЙ,https://www.elibrary.ru/item.asp?id=44181322,Free,Федоров А.В.
ДОКУМЕНТЫ АРХИВНО-СЛЕДСТВЕННОГО ДЕЛА ПО ОБВИНЕНИЮ П.А. ПЕТРОВА-ТУРИНГЕ В АНТИСОВЕТСКОЙ И КОНТРРЕВОЛЮЦИОННОЙ ДЕЯТЕЛЬНОСТИ,https://www.elibrary.ru/item.asp?id=42853073,Free,Петров И.Г.
ПРИЛОЖЕНИЯ,https://www.elibrary.ru/item.asp?id=45616479,Free,
СПИСОК ИНФОРМАНТОВ,https://www.elibrary.ru/item.asp?id=45616489,Free,
МОСКОВСКИЙ МЕТРОПОЛИТЕН - ЛУЧШИЙ В МИРЕ,https://www.elibrary.ru/item.asp?id=26698414,No-Access,Костина О.В.
"КНИГА ПАМЯТИ. О СБОРНИКЕ ОЧЕРКОВ ""ВОСПОМИНАНИЯ ОБ УЧЕНЫХ ИНСТИТУТА ГЕОЛОГИИ И ГЕОХИМИИ"", ЕКАТЕРИНБУРГ: ИГГ УРО РАН. 2012",https://www.elibrary.ru/item.asp?id=20407052,Free,Шатров В.П.
ФИЛОСОФСКО-МЕТОДОЛОГИЧЕСКИЕ ИССЛЕДОВАНИЯ ГЛОБАЛИСТИКИ,https://www.elibrary.ru/item.asp?id=41828310,No-Access,Малюкова О.В.
ДОРОГА К ЛЫКОВЫМ,https://www.elibrary.ru/item.asp?id=39258661,Free,Лебедев А.С.
"В.Л. КОМАРОВ И АВТОРЫ ""ФЛОРЫ СССР""",https://www.elibrary.ru/item.asp?id=46300097,Free,"Сытин А.К., Сластунов Д.Д."
ДИПЛОМАТ И ГЕНЕАЛОГ ЮРИЙ АЛЕКСАНДРОВИЧ НЕЛИДОВ: ЕГО ПРЕДКИ И ПОТОМКИ,https://www.elibrary.ru/item.asp?id=16926079,Free,Гессен В.Ю.
"ИСТОРИЯ РЕМЕСЛА, ТЕХНИЧЕСКИХ НАУК И ПРОМЫШЛЕННОСТИ В РОССИИ В СОЦИАЛЬНОМ КОНТЕКСТЕ",https://www.elibrary.ru/item.asp?id=29831542,Free,"Абрамова И., Земцов Б., Будрейко Е., Гвоздецкий В., Лобач Д., Суздалева Т., Федоров К."
"РАЗРАБОТКА, ИССЛЕДОВАНИЕ И МАРКЕТИНГ НОВОЙ ФАРМАЦЕВТИЧЕСКОЙ ПРОДУКЦИИ",https://www.elibrary.ru/item.asp?id=23738216,Free,
РАЗВИТИЕ ДОБЫЧИ УГЛЯ В КУЗБАССЕ ОТКРЫТЫМ СПОСОБОМ,https://www.elibrary.ru/item.asp?id=29428270,No-Access,
"РУССКОЕ БОТАНИЧЕСКОЕ ОБЩЕСТВО И ""ФЛОРА СССР"" (1934-1964): ВЗГЛЯД ЧЕРЕЗ 50 ЛЕТ",https://www.elibrary.ru/item.asp?id=23952535,Free,"Саксонов С.В., Сенатор С.А."
"САНКТ-ПЕТЕРБУРГСКИЙ ГОРНЫЙ КАДЕТСКИЙ КОРПУС В ВОСПОМИНАНИЯХ ВОСПИТАННИКОВ: ""ВОСПОМИНАНИЯ О ВОСПИТАНИИ В ГОРНОМ КАДЕТСКОМ КОРПУСЕ, 1815-1822"" АРДАЛИОНА ВАСИЛЬЕВИЧА ИВАНОВА",https://www.elibrary.ru/item.asp?id=20782060,Free,Бондарева О.Н.
ТЫСЯЧА И ОДИН САМЫЙ КАССОВЫЙ СОВЕТСКИЙ ФИЛЬМ: МНЕНИЯ КИНОКРИТИКОВ И ЗРИТЕЛЕЙ,https://www.elibrary.ru/item.asp?id=47396024,Free,Федоров А.В.
ИСТОРИЯ ДЕЯТЕЛЬНОСТИ ШАДРИНСКОГО КРАЕВЕДЧЕСКОГО МУЗЕЯ В 1918–2018 ГГ,https://www.elibrary.ru/item.asp?id=36445049,No-Access,Борисов С.Б.
ПИСЬМА ТИМОФЕЯ МАКСИМОВИЧА БАСНИНА ДЕТЯМ (1797 Г.),https://www.elibrary.ru/item.asp?id=30637062,Free,Комлева Е.В.
ЭКОНОМИЧЕСКАЯ БЕЗОПАСНОСТЬ КАК СОВОКУПНОСТЬ ХАРАКТЕРИСТИК ФИНАНСОВО-ХОЗЯЙСТВЕННОЙ ДЕЯТЕЛЬНОСТИ ПРЕДПРИЯТИЯ (ОРГАНИЗАЦИИ),https://www.elibrary.ru/item.asp?id=43787925,No-Access,"Богатырев А.В., Бубнова О.Ю., Миронов Н.А., Елфимов О.М."
