Статья,Ссылка,Доступ,Авторы
Experimental investigation of the performance and emissions of a dual-injection SI engine with natural gas direct injection plus gasoline port injection under lean-burn conditions,https://www.sciencedirect.com/science/article/pii/S0016236121008292,No-Access,"Ze Liu, Xiumin Yu, Sichuan Xu"
Energy and exergy analysis of a combined injection engine using gasoline port injection coupled with gasoline or hydrogen direct injection under lean-burn conditions,https://www.sciencedirect.com/science/article/pii/S0360319920345560,No-Access,"Xiumin Yu, Decheng Li, Chuanzhao Yao"
Engine performance and emissions of furan-series biofuels under stratified lean-burn combustion mode,https://www.sciencedirect.com/science/article/pii/S0016236120321098,No-Access,"Changzhao Jiang, Chongming Wang, Xiao Ma"
Impacts of dimethyl ether enrichment and various injection strategies on combustion and emissions of direct injection gasoline engines in the lean-burn condition,https://www.sciencedirect.com/science/article/pii/S0016236119309883,No-Access,"Lei Shi, Changwei Ji, Cheng Shi"
Thermal efficiency improvement of lean burn high compression ratio engine coupled with water direct injection,https://www.sciencedirect.com/science/article/pii/S0196890421011456,No-Access,"Yiqiang Pei, Qirui Zhang, Dingwei Gao"
Effect of brown gas (HHO) addition on combustion and emission in gasoline engine with exhaust gas recirculation (EGR) and gasoline direct injection,https://www.sciencedirect.com/science/article/pii/S0959652622016857,No-Access,"Zhe Zhao, Yan Huang, Tianqi Wang"
Assessment of ultra-lean burn characteristics for a stratified-charge direct-injection spark-ignition methanol engine under different high compression ratios,https://www.sciencedirect.com/science/article/pii/S030626191932166X,No-Access,"Changming Gong, Lin Yi, Fenghua Liu"
Evaluation on combustion and lean-burn limitof a medium compression ratio hydrogen/methanol dual-injection spark-ignition engine under methanol late-injection,https://www.sciencedirect.com/science/article/pii/S0306261920311260,No-Access,"Changming Gong, Zhaohui Li, Fenghua Liu"
Experimental study on lean-burn characteristics of an SI engine with hydrogen/gasoline combined injection and EGR,https://www.sciencedirect.com/science/article/pii/S0360319919312959,No-Access,"Xiumin Yu, Zezhou Guo, Haiming Wu"
Effects of hydrogen direct injection on combustion and emission characteristics of a hydrogen/Acetone-Butanol-Ethanol dual-fuel spark ignition engine under lean-burn conditions,https://www.sciencedirect.com/science/article/pii/S036031992033500X,No-Access,"Xiumin Yu, Decheng Li, Tianqi Wang"
Combustion and emission characteristics of an ultra-lean burn gasoline engine with dimethyl ether auto-ignition,https://www.sciencedirect.com/science/article/pii/S0360544220315450,No-Access,"Bang-Quan He, Si-Peng Xu, Hua Zhao"
"Numerical study on effects of hydrogen direct injection on hydrogen mixture distribution, combustion and emissions of a gasoline/hydrogen SI engine under lean burn condition",https://www.sciencedirect.com/science/article/pii/S0360319919342296,No-Access,"Xiumin Yu, Guanting Li, Zhe Zhao"
"Computational study of nozzle spray-line distribution effects on stratified mixture formation, combustion and emissions of a high compression ratio DISI methanol engine under lean-burn condition",https://www.sciencedirect.com/science/article/pii/S0360544220311877,No-Access,"Changming Gong, Zilei Zhang, Fenghua Liu"
Effects of hydrogen direct injection strategy on characteristics of lean-burn hydrogen–gasoline engines,https://www.sciencedirect.com/science/article/pii/S0016236117309195,No-Access,"Xiumin Yu, Yaodong Du, Xiongyinan Zuo"
Effect of direct injection dimethyl ether on the micro-flame ignited (MFI) hybrid combustion characteristics of an optical gasoline engine at ultra-lean conditions,https://www.sciencedirect.com/science/article/pii/S0378382019325810,No-Access,"Xiao Li, Bang-Quan He, Hua Zhao"
Comparative study on combustion and emissions between methanol port-injection engine and methanol direct-injection engine with H2-enriched port-injection under lean-burn conditions,https://www.sciencedirect.com/science/article/pii/S0196890419311021,No-Access,"Changming Gong, Zhaohui Li, Fenghua Liu"
Experimental assessment of lean-burn characteristics for a modified diesel engine operated in methanol direct injection spark ignition (DISI) mode at full throttle condition,https://www.sciencedirect.com/science/article/pii/S0016236120314514,No-Access,"Le Ning, Qimeng Duan, Ke Zeng"
A comparative study on effects of homogeneous or stratified hydrogen on combustion and emissions of a gasoline/hydrogen SI engine,https://www.sciencedirect.com/science/article/pii/S0360319919329453,No-Access,"Xiumin Yu, Guanting Li, Yinan Li"
"Comparative study on combustion and emissions of SI engine with gasoline port injection plus acetone-butanol-ethanol (ABE), isopropanol-butanol-ethanol (IBE) or butanol direct injection",https://www.sciencedirect.com/science/article/pii/S0016236122002320,No-Access,"Zezhou Guo, Xiumin Yu, Tianqi Wang"
Comparative study of different injection modes on combustion and particle emission of acetone-butanol-ethanol (ABE) and gasoline in a dual-injection SI engine,https://www.sciencedirect.com/science/article/pii/S0016236120317828,No-Access,"Zezhou Guo, Xiumin Yu, Decheng Li"
Dual injection: An effective and efficient technology to use renewable fuels in spark ignition engines,https://www.sciencedirect.com/science/article/pii/S1364032121002148,No-Access,"Yuhan Huang, Nic C. Surawski, Guang Hong"
Effects of direct injection timing of ethanol fuel on engine knock and lean burn in a port injection gasoline engine,https://www.sciencedirect.com/science/article/pii/S0016236114005948,No-Access,"Yuan Zhuang, Guang Hong"
Effect of hydrogen proportion on lean burn performance of a dual fuel SI engine using hydrogen direct-injection,https://www.sciencedirect.com/science/article/pii/S001623611630878X,No-Access,"Renxu Niu, Xiumin Yu, Yao Sun"
Effects of direct hydrogen injection on particle number emissions from a lean burn gasoline engine,https://www.sciencedirect.com/science/article/pii/S0360319916322108,No-Access,"Yao Sun, Xiumin Yu, Linlin Jiang"
Effect of mixture formation mode on the combustion and emission characteristics in a hydrogen direct-injection engine under different load conditions,https://www.sciencedirect.com/science/article/pii/S1359431122002356,No-Access,"Sanguk Lee, Gyeonggon Kim, Choongsik Bae"
