Статья,Ссылка,Доступ,Авторы
Experimental study of stratified lean burn characteristics on a dual injection gasoline engine,https://link.springer.com/article/10.1007/s11708-021-0812-6,No-Access,"Chun Xia, Tingyu Zhao, Junhua Fang, Lei Zhu, Zhen Huang"
Combustion and emission characteristics of a dual injection system applied to a DISI engine,https://link.springer.com/article/10.1007/s12182-014-0357-y,Free,"Byungdeok In, Sangwook Park, Hyungmin Kim, Kihyung Lee"
Octane number stratified mixture preparation by gasoline–ethanol dual injection in SI engines,https://link.springer.com/article/10.1007/s13762-018-1942-1,No-Access,"V. G. Bui, V. N. Tran, V. D. Nguyen…"
Numerical investigation of dual-fuel direct injection on RCCI combustion performance at low load condition,https://link.springer.com/article/10.1007/s12206-021-0835-2,No-Access,"Peng Jiang, Xu Liu, Lixuan Cao, Qian Wang…"
Lean combustion by a pre-chamber charge stratification in a stationary spark ignited engine,https://link.springer.com/article/10.1007/s12206-015-0145-7,No-Access,Arkadiusz Jamrozik
Gasoline Auto Ignition with Diesel Pilot Injection,https://link.springer.com/article/10.1007/s38313-013-0043-2,No-Access,"Dr.-Ing. Johannes Eichmeier, Dipl.-Ing. Florian Bach…"
A holistic investigation of natural gas–diesel dual fuel combustion with dual direct injection for passenger car applications,https://link.springer.com/article/10.1007/s41104-017-0018-4,Free,"Paul Fasching, Florian Sprenger, Christina Granitz"
A review of dual-fuel combustion mode in spark-ignition engines,https://link.springer.com/article/10.1007/s40430-021-03156-5,No-Access,Augusto César Teixeira Malaquias…
High-Efficiency and Clean Combustion Natural Gas Engines for Vehicles,https://link.springer.com/article/10.1007/s42154-019-00075-z,No-Access,"Fubai Li, Zhi Wang, Yunfei Wang, Boyuan Wang"
Optical investigations on lean combustion improvement of natural gas engines via turbulence enhancement,https://link.springer.com/article/10.1007/s11771-022-4923-y,No-Access,"Jin-guang Li 李金光, Ren Zhang 张軔, Peng-hui Yang 杨鹏晖…"
Thermodynamic model for prediction of performance and emission characteristics of SI engine fuelled by gasoline and natural gas with experimental verification,https://link.springer.com/article/10.1007/s12206-012-0303-0,No-Access,"Dashti Mehrnoosh, Hamidi Ali Asghar…"
Passive SCR Performance Under Pseudo-Transient Cycle: Challenges and Opportunities for Meeting Tier 3 Emissions,https://link.springer.com/article/10.1007/s40825-019-00126-1,No-Access,"Vitaly Y. Prikhodko, Josh A. Pihl, Todd J. Toops…"
Improvement of engine performance with high compression ratio based on knock suppression using Miller cycle with boost pressure and split injection,https://link.springer.com/article/10.1007/s11708-019-0621-3,No-Access,"Haiqiao Wei, Jie Yu, Lei Zhou"
Characteristic of Energy Fractions and Emissions under Natural Gas/Diesel Dual-Fuel Heavy-Duty Engine in Terms of the Combustion Parameters,https://link.springer.com/article/10.1007/s12239-020-0011-1,No-Access,"Jeongwoo Lee, Sunyoup Lee, Changgi Kim…"
Effect of operating parameters on diesel/propane dual fuel premixed compression ignition in a diesel engine,https://link.springer.com/article/10.1007/s12239-018-0003-6,No-Access,"Jaegu Kang, Sanghyun Chu, Jeongwoo Lee…"
Low Engine Speed Torque Improvement in Natural Gas Engine: Experimental Observations,https://link.springer.com/article/10.1007/s41660-020-00131-w,No-Access,"Pritesh J. Suple, Chandrakant R. Sonawane…"
Effects of injection timing on performance and droplet characteristics of a sixteen-valve four cylinder engine,https://link.springer.com/article/10.1007/s003480050056,No-Access,"S. Chappuis, B. Cousyn, M. Posylkin, F. Vannobel, J. H. Whitelaw"
"Multi-dimensional modelling of spray, in-cylinder air motion and fuel-air mixing in a direct-injection engine",https://link.springer.com/article/10.1007/s12046-007-0045-3,No-Access,"N. Abani, S. Bakshi, R. V. Ravikrishna"
Soot Development in an Optical Direct Injection Spark Ignition Engine Fueled with Isooctane,https://link.springer.com/article/10.1007/s12239-021-0042-2,No-Access,"Fangxi Xie, Miaomiao Zhang, Yongzhen Wang…"
Experimental and Numerical Investigation on the macroscopic characteristics of the jet discharging from gaseous direct injector,https://link.springer.com/article/10.1007/s12206-013-1142-3,No-Access,"Alireza Hajialimohammadi, Amir Abdullah…"
